countryiso3code,date,value,unit,obs_status,decimal,indicator_id,indicator_value,country_id,country_value
IRN,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2024,475252089215.416,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2023,457510482317.483,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2022,422662261525.665,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2021,407350685583.335,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2020,280934329279.723,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2019,347988400957.999,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2018,411903303606.044,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2017,510239893417.645,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2016,478618064870.999,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
