message,countryiso3code,date,value,unit,obs_status,decimal,indicator_id,indicator_value,country_id,country_value
"[{'id': '150', 'key': 'Language is not yet supported in the API', 'value': 'Response requested in an unsupported language.'}]",,,,,,,,,,
,IRN,2025.0,,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2024.0,91567738.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2023.0,90608707.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2022.0,89524246.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2021.0,88455488.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2020.0,87723443.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2019.0,87051648.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2018.0,86117998.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2017.0,85026754.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2016.0,83812228.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2015.0,82619362.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2014.0,81502045.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2013.0,80414686.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2012.0,79370580.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2011.0,78383598.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2010.0,77420842.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2009.0,76457825.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2008.0,75514204.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2007.0,74602648.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2006.0,73392747.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2005.0,71828455.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2004.0,70256316.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2003.0,68769340.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2002.0,68011317.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2001.0,67452005.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,2000.0,66418659.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1999.0,65445391.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1998.0,64519859.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1997.0,63639638.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1996.0,62881300.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1995.0,62205567.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1994.0,61520598.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1993.0,61403543.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1992.0,61184983.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1991.0,59986931.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1990.0,58380092.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1989.0,56704914.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
,IRN,1988.0,55072694.0,,,0.0,SP.POP.TOTL,"Population, total",IR,"Iran, Islamic Rep."
