date,exports_of_goods_and_services_current_us$,gdp_current_us$,population_total
1960,581541416.309979,4199134389.9037,21470434.0
1961,607915176.686849,4426949094.8403,22125726.0
1962,680443017.723241,4693566416.48346,22807907.0
1963,755608234.797319,4928628018.38759,23519005.0
1964,882202284.606294,5379845647.70139,24262859.0
1965,1000884206.30221,6197319929.04038,25036978.0
1966,1106379247.80969,6789938671.75094,25829270.0
1967,1306819826.6739,7555383690.16,26628432.0
1968,1507260405.53811,8623172959.89803,27437391.0
1969,1756492441.09952,9743089607.49587,28273482.0
1970,2026823484.96244,10976245153.5894,29145100.0
1971,3172763666.53012,13731802833.0363,30029071.0
1972,3936283736.24781,17153463263.1086,30921179.0
1973,9056140483.66646,27081698249.5083,31839838.0
1974,21889677076.8229,46209092072.1383,32796463.0
1975,21091425210.7667,51776222349.8869,33802973.0
1976,25319975895.9271,68055295080.7538,34837271.0
1977,24821052416.5613,80600122701.9632,35933181.0
1978,18308804922.6659,77994316621.4814,37126535.0
1979,24176515151.1735,90391877325.9285,38424952.0
1980,12961626483.9921,94362275580.0229,39842324.0
1981,12431487008.5232,100499312749.923,41989312.0
1982,21524982662.5459,125948756439.485,44272141.0
1983,22725836919.8725,156365156618.241,46029535.0
1984,18359078550.03,162276728619.519,47793998.0
1985,16006784597.2546,180183629599.684,49582289.0
1986,7802605539.0852,209094561833.48,51446045.0
1987,12271835669.7727,134009995923.169,53323493.0
1988,8964962591.90088,123057861333.908,55072694.0
1989,11841502481.9823,120496362916.271,56704914.0
1990,16573631049.5276,124813263926.225,58380092.0
1991,18198012420.8553,131637664958.014,59986931.0
1992,15767057948.5,119768691216.667,61184983.0
1993,16197325830.8709,63743623232.012,61403543.0
1994,20321213940.5656,71841461172.5964,61520598.0
1995,20900063457.4499,96419225743.6737,62205567.0
1996,24315730858.1923,120403931885.441,62881300.0
1997,19682874297.9673,113919163421.155,63639638.0
1998,13986840980.1622,110276913362.508,64519859.0
1999,21963669399.3289,113848450088.351,65445391.0
2000,23526115003.4898,109591707802.216,66418659.0
2001,24491811633.614,126878750295.944,67452005.0
2002,31402849782.6087,128626917503.72,68011317.0
2003,37411894954.6003,151911222119.488,68769340.0
2004,47439812814.1759,187754571247.666,70256316.0
2005,68235356549.7728,224970371324.67,71828455.0
2006,79332810981.9141,265602187403.643,73392747.0
2007,100876666988.056,349736591832.418,74602648.0
2008,107921993809.129,406070949553.875,75514204.0
2009,94038986373.5181,414059094949.063,76457825.0
2010,118843286439.714,487069570463.768,77420842.0
2011,156851049078.635,629082257472.368,78383598.0
2012,144745274388.254,644019315003.54,79370580.0
2013,126015225003.529,500399839839.877,80414686.0
2014,105542726658.871,462284793280.825,81502045.0
2015,76604098444.8952,409191686496.677,82619362.0
2016,97206283742.5977,478618064870.999,83812228.0
2017,111400323836.85,510239893417.645,85026754.0
2018,122086879297.775,411903303606.044,86117998.0
2019,77652596277.174,347988400957.999,87051648.0
2020,51664876275.961,280934329279.723,87723443.0
2021,89695394080.1348,407350685583.335,88455488.0
2022,108060448021.703,422662261525.665,89524246.0
2023,109444045103.672,457510482317.483,90608707.0
2024,111928863188.398,475252089215.416,91567738.0
