date,gdp_current_us$,population_total
1960,4199134389.9037,21470434.0
1961,4426949094.8403,22125726.0
1962,4693566416.48346,22807907.0
1963,4928628018.38759,23519005.0
1964,5379845647.70139,24262859.0
1965,6197319929.04038,25036978.0
1966,6789938671.75094,25829270.0
1967,7555383690.16,26628432.0
1968,8623172959.89803,27437391.0
1969,9743089607.49587,28273482.0
1970,10976245153.5894,29145100.0
1971,13731802833.0363,30029071.0
1972,17153463263.1086,30921179.0
1973,27081698249.5083,31839838.0
1974,46209092072.1383,32796463.0
1975,51776222349.8869,33802973.0
1976,68055295080.7538,34837271.0
1977,80600122701.9632,35933181.0
1978,77994316621.4814,37126535.0
1979,90391877325.9285,38424952.0
1980,94362275580.0229,39842324.0
1981,100499312749.923,41989312.0
1982,125948756439.485,44272141.0
1983,156365156618.241,46029535.0
1984,162276728619.519,47793998.0
1985,180183629599.684,49582289.0
1986,209094561833.48,51446045.0
1987,134009995923.169,53323493.0
1988,123057861333.908,55072694.0
1989,120496362916.271,56704914.0
1990,124813263926.225,58380092.0
1991,131637664958.014,59986931.0
1992,119768691216.667,61184983.0
1993,63743623232.012,61403543.0
1994,71841461172.5964,61520598.0
1995,96419225743.6737,62205567.0
1996,120403931885.441,62881300.0
1997,113919163421.155,63639638.0
1998,110276913362.508,64519859.0
1999,113848450088.351,65445391.0
2000,109591707802.216,66418659.0
2001,126878750295.944,67452005.0
2002,128626917503.72,68011317.0
2003,151911222119.488,68769340.0
2004,187754571247.666,70256316.0
2005,224970371324.67,71828455.0
2006,265602187403.643,73392747.0
2007,349736591832.418,74602648.0
2008,406070949553.875,75514204.0
2009,414059094949.063,76457825.0
2010,487069570463.768,77420842.0
2011,629082257472.368,78383598.0
2012,644019315003.54,79370580.0
2013,500399839839.877,80414686.0
2014,462284793280.825,81502045.0
2015,409191686496.677,82619362.0
2016,478618064870.999,83812228.0
2017,510239893417.645,85026754.0
2018,411903303606.044,86117998.0
2019,347988400957.999,87051648.0
2020,280934329279.723,87723443.0
2021,407350685583.335,88455488.0
2022,422662261525.665,89524246.0
2023,457510482317.483,90608707.0
2024,475252089215.416,91567738.0
