core_content,date,year,threat_type,source_medium,_extraction_id,_source_url,_source_title,_source_domain,_pub_date,_source_date
"If Iran shots [sic] and violently kills peaceful protesters, which is their custom, the United States of America will come to their rescue. We are locked and loaded and ready to go,",,2025,military_action,social_media,1,https://www.benzinga.com/news/politics/26/01/49664942/iran-warns-us-intervention-would-destabilize-region-after-trump-threatens-action-over-protests-amer,Iran Warns US Intervention Would Destabilize Region After Trump Threatens Action Over Protests :  American People Must Know ... ,benzinga.com,2026-01-02,20260102T140000Z
"“It’s time to look for new leadership in Iran,”",,,other,other,2,https://www.theepochtimes.com/us/trump-calls-for-new-leadership-in-iran-5972650,Trump Calls for New Leadership in Iran,theepochtimes.com,2026-01-18,20260118T044500Z
It’s time to look for new leadership in Iran,,,military_action,other,13,https://news.antiwar.com/2026/01/18/trump-its-time-to-look-for-new-leadership-in-iran/,Trump : It Time to Look for New Leadership in Iran - News From Antiwar . com,news.antiwar.com,2026-01-18,20260118T211500Z
he would attack the Islamic Republic for rebuilding its nuclear program and missile facilities,,,military_action,,14,https://news.antiwar.com/2026/01/18/trump-its-time-to-look-for-new-leadership-in-iran/,Trump : It Time to Look for New Leadership in Iran - News From Antiwar . com,news.antiwar.com,2026-01-18,20260118T211500Z
"It'll make what we did to your nuclear sites look like peanuts,",,,military_action,press_conference,15,https://www.express.co.uk/news/us/2161520/trump-WW3-warns-us-armada-heading-iran-uss-abraham-lincoln,Trump 11 - word Iran armada warning sparks WW3 fears,express.co.uk,2026-01-22,20260123T020000Z
"I would absolutely hit them so hard. I have very firm instructions, anything happens, they're going to wipe them off the face of this Earth.",,,military_action,other,16,https://www.express.co.uk/news/us/2161520/trump-WW3-warns-us-armada-heading-iran-uss-abraham-lincoln,Trump 11 - word Iran armada warning sparks WW3 fears,express.co.uk,2026-01-22,20260123T020000Z
time is running out,,,military_action,social_media,17,https://timesofmalta.com/article/iran-respond-like-never-before-us-attacks-iranian-mission-un.1123226,Iran will  respond like never before  if US attacks : Iranian mission to UN,timesofmalta.com,2026-01-28,20260128T210000Z
Trump warns Iran as US ships enter region,,,military_action,,7,https://timesofindia.indiatimes.com/world/us/trump-warns-iran-as-us-ships-enter-region/articleshow/127748830.cms,Trump warns Iran as US ships enter region - The Times of India,timesofindia.indiatimes.com,2026-01-29,20260129T023000Z
time is running out,,,diplomatic_pressure,other,3,https://www.foxnews.com/us/us-military-warns-iran-not-tolerate-any-unsafe-actions-ahead-live-fire-drills-strait-hormuz,US military issues warning to Iran ahead of live - fire drills in Strait of Hormuz,foxnews.com,2026-01-31,20260131T183000Z
"You do that, we're going to do very bad things to you.",,2026,military_action,television_interview,12,https://www.dw.com/en/us-iran-to-hold-talks-in-oman-on-friday/a-75811679,"US , Iran to hold talks in Oman on Friday",dw.com,2026-02-04,20260205T004500Z
you do that and we are going to do way more things to you,,,military_action,television_interview,4,https://timesofindia.indiatimes.com/world/us/should-irans-supreme-leader-khamenei-be-worried-donald-trumps-response-and-a-blunt-warning/articleshow/127922628.cms,Should Iran supreme leader Khamenei be worried ? Donald Trump response and a blunt warning,timesofindia.indiatimes.com,2026-02-05,20260205T040000Z
"We have to make a meaningful deal, otherwise, bad things happen, but we have to make a meaningful deal.",,2026,military_action,other,5,https://www.salon.com/2026/02/19/trump-warns-of-bad-things-if-iran-doesnt-agree-to-meaningful-nuclear-deal/,Trump warns of  bad things  if Iran doesnt agree to  meaningful  nuclear deal,salon.com,2026-02-19,20260220T021500Z
"We may have to take it a step further, or we may not, maybe we’re going to make a deal.",,2026,military_action,other,6,https://www.salon.com/2026/02/19/trump-warns-of-bad-things-if-iran-doesnt-agree-to-meaningful-nuclear-deal/,Trump warns of  bad things  if Iran doesnt agree to  meaningful  nuclear deal,salon.com,2026-02-19,20260220T021500Z
They have already developed missiles that can threaten Europe and our bases overseas and they are working to build missiles that will soon reach the U.S.,,2026,other,other,8,https://www.benzinga.com/news/politics/26/02/50839977/trump-is-waiting-to-hear-these-secret-words-from-iran-president-blasts-tehran-over-nuclear-threats-and-missile-program,"Trump Is Waiting To Hear These  Secret  Words From Iran , President Blasts Tehran Over Nuclear Threats And Missile Program",benzinga.com,2026-02-24,20260225T070000Z
President Donald Trump gave the country’s leadership roughly 10 to 15 days to reach a nuclear agreement and warned that the inability to strike a deal could lead to U.S. military action in the region.,,,military_action,other,9,https://www.foxnews.com/politics/kennedy-warns-ayatollah-wants-drink-our-blood-out-boot-iran-tensions-escalate,GOP senator says he  wouldnt trust  Iran Ayatollah  if he was three days dead  ,foxnews.com,2026-02-26,20260227T013000Z
I will never allow the world’s number one sponsor of terror … to have a nuclear weapon.,,,military_action,other,10,https://www.foxnews.com/politics/kennedy-warns-ayatollah-wants-drink-our-blood-out-boot-iran-tensions-escalate,GOP senator says he  wouldnt trust  Iran Ayatollah  if he was three days dead  ,foxnews.com,2026-02-26,20260227T013000Z
Trump is surprised Iran hasn’t already capitulated.,,,military_action,,11,https://www.independent.com/2026/02/26/powder-keg/,Powder Keg - The Santa Barbara Independent,independent.com,2026-02-26,20260227T030000Z
