date,exports_of_goods_and_services_current_us$,gdp_current_us$
1960.0,581541416.309979,4199134389.9037
1961.0,607915176.686849,4426949094.8403
1962.0,680443017.723241,4693566416.48346
1963.0,755608234.797319,4928628018.38759
1964.0,882202284.606294,5379845647.70139
1965.0,1000884206.30221,6197319929.04038
1966.0,1106379247.80969,6789938671.75094
1967.0,1306819826.6739,7555383690.16
1968.0,1507260405.53811,8623172959.89803
1969.0,1756492441.09952,9743089607.49587
1970.0,2026823484.96244,10976245153.5894
1971.0,3172763666.53012,13731802833.0363
1972.0,3936283736.24781,17153463263.1086
1973.0,9056140483.66646,27081698249.5083
1974.0,21889677076.8229,46209092072.1383
1975.0,21091425210.7667,51776222349.8869
1976.0,25319975895.9271,68055295080.7538
1977.0,24821052416.5613,80600122701.9632
1978.0,18308804922.6659,77994316621.4814
1979.0,24176515151.1735,90391877325.9285
1980.0,12961626483.9921,94362275580.0229
1981.0,12431487008.5232,100499312749.923
1982.0,21524982662.5459,125948756439.485
1983.0,22725836919.8725,156365156618.241
1984.0,18359078550.03,162276728619.519
1985.0,16006784597.2546,180183629599.684
1986.0,7802605539.0852,209094561833.48
1987.0,12271835669.7727,134009995923.169
1988.0,8964962591.90088,123057861333.908
1989.0,11841502481.9823,120496362916.271
1990.0,16573631049.5276,124813263926.225
1991.0,18198012420.8553,131637664958.014
1992.0,15767057948.5,119768691216.667
1993.0,16197325830.8709,63743623232.012
1994.0,20321213940.5656,71841461172.5964
1995.0,20900063457.4499,96419225743.6737
1996.0,24315730858.1923,120403931885.441
1997.0,19682874297.9673,113919163421.155
1998.0,13986840980.1622,110276913362.508
1999.0,21963669399.3289,113848450088.351
2000.0,23526115003.4898,109591707802.216
2001.0,24491811633.614,126878750295.944
2002.0,31402849782.6087,128626917503.72
2003.0,37411894954.6003,151911222119.488
2004.0,47439812814.1759,187754571247.666
2005.0,68235356549.7728,224970371324.67
2006.0,79332810981.9141,265602187403.643
2007.0,100876666988.056,349736591832.418
2008.0,107921993809.129,406070949553.875
2009.0,94038986373.5181,414059094949.063
2010.0,118843286439.714,487069570463.768
2011.0,156851049078.635,629082257472.368
2012.0,144745274388.254,644019315003.54
2013.0,126015225003.529,500399839839.877
2014.0,105542726658.871,462284793280.825
2015.0,76604098444.8952,409191686496.677
2016.0,97206283742.5977,478618064870.999
2017.0,111400323836.85,510239893417.645
2018.0,122086879297.775,411903303606.044
2019.0,77652596277.174,347988400957.999
2020.0,51664876275.961,280934329279.723
2021.0,89695394080.1348,407350685583.335
2022.0,108060448021.703,422662261525.665
2023.0,109444045103.672,457510482317.483
2024.0,111928863188.398,475252089215.416
