date,gdp_current_us$,population_total,trade_%_of_gdp
1960,4199134389.9037,21470434.0,31.2375416706824
1961,4426949094.8403,22125726.0,29.595243518665
1962,4693566416.48346,22807907.0,28.1759999579277
1963,4928628018.38759,23519005.0,27.7909132791522
1964,5379845647.70139,24262859.0,32.7286498118115
1965,6197319929.04038,25036978.0,32.6260355705187
1966,6789938671.75094,25829270.0,33.9069788697103
1967,7555383690.16,26628432.0,36.9554383859175
1968,8623172959.89803,27437391.0,37.9919397932741
1969,9743089607.49587,28273482.0,39.0781431690247
1970,10976245153.5894,29145100.0,39.6670145483067
1971,13731802833.0363,30029071.0,44.4280295106766
1972,17153463263.1086,30921179.0,44.4534498683576
1973,27081698249.5083,31839838.0,54.0978869207957
1974,46209092072.1383,32796463.0,71.404688105953
1975,51776222349.8869,33802973.0,76.1156234266906
1976,68055295080.7538,34837271.0,65.4350811254341
1977,80600122701.9632,35933181.0,59.8880783649035
1978,77994316621.4814,37126535.0,45.6945656371966
1979,90391877325.9285,38424952.0,42.8058267760669
1980,94362275580.0229,39842324.0,42.4826738676286
1981,100499312749.923,41989312.0,40.3131061355616
1982,125948756439.485,44272141.0,38.0635168781944
1983,156365156618.241,46029535.0,38.7301135168752
1984,162276728619.519,47793998.0,27.9341376101748
1985,180183629599.684,49582289.0,23.1723911405475
1986,209094561833.48,51446045.0,14.1448539041301
1987,134009995923.169,53323493.0,17.8848531376826
1988,123057861333.908,55072694.0,21.5839788397354
1989,120496362916.271,56704914.0,27.9350257079062
1990,124813263926.225,58380092.0,37.0805676988111
1991,131637664958.014,59986931.0,44.1941716478042
1992,119768691216.667,61184983.0,40.3979272522381
1993,63743623232.012,61403543.0,46.0408643243691
1994,71841461172.5964,61520598.0,41.6091363981328
1995,96419225743.6737,62205567.0,35.1442449159574
1996,120403931885.441,62881300.0,35.2212991546042
1997,113919163421.155,63639638.0,32.6495581116416
1998,110276913362.508,64519859.0,29.2282196463134
1999,113848450088.351,65445391.0,34.8854141345934
2000,109591707802.216,66418659.0,41.2572474638031
2001,126878750295.944,67452005.0,40.535566479523
2002,128626917503.72,68011317.0,48.1726865520657
2003,151911222119.488,68769340.0,50.6791057753261
2004,187754571247.666,70256316.0,51.3138573265888
2005,224970371324.67,71828455.0,54.4404952635536
2006,265602187403.643,73392747.0,53.1673587143845
2007,349736591832.418,74602648.0,49.8873069225934
2008,406070949553.875,75514204.0,48.2294027741438
2009,414059094949.063,76457825.0,43.6995802243585
2010,487069570463.768,77420842.0,43.7706437371399
2011,629082257472.368,78383598.0,41.2194147918578
2012,644019315003.54,79370580.0,44.0893466807452
2013,500399839839.877,80414686.0,47.0867179194755
2014,462284793280.825,81502045.0,45.3514201413161
2015,409191686496.677,82619362.0,39.42258866118
2016,478618064870.999,83812228.0,39.8772417738866
2017,510239893417.645,85026754.0,43.1556931383906
2018,411903303606.044,86117998.0,56.6153496142829
2019,347988400957.999,87051648.0,48.5917712137038
2020,280934329279.723,87723443.0,43.8844674905013
2021,407350685583.335,88455488.0,42.672379536261
2022,422662261525.665,89524246.0,48.9183508223052
2023,457510482317.483,90608707.0,49.3935500960203
2024,475252089215.416,91567738.0,52.0621306794348
